parties,nv,gate,pcs,prover_time,verifier_time,comm,mem,proof_size_compressed,proof_size_uncompressed
32,22,vanilla,mkzg,2465590,5165,1614541,54547876,42090,42890
32,22,vanilla,dory,3049475,14253,2512379,54547884,79690,83850
32,22,jellyfish,mkzg,2648965,5475,1914125,54547768,50586,51450
32,22,jellyfish,dory,3264451,14892,2831803,54548208,88890,93050
32,24,vanilla,mkzg,3605939,5530,1897338,54547880,48322,49186
32,24,vanilla,dory,4653907,15494,2887574,54547876,88450,92898
32,24,jellyfish,mkzg,4194623,5871,2226682,54547840,57522,58450
32,24,jellyfish,dory,5528427,16013,3236758,54548280,98354,102802
32,26,vanilla,mkzg,6862063,5770,2202243,54547840,54970,55898
32,26,vanilla,dory,8938726,17142,3284877,54547972,97626,102362
32,26,jellyfish,mkzg,9432949,6226,2561347,54547740,64874,65866
32,26,jellyfish,dory,12519971,17731,3663821,54548308,108234,112970
16,22,vanilla,mkzg,2952327,5195,837864,54547816,42090,42890
16,22,vanilla,dory,3699835,13506,1271430,54547764,77098,80970
16,22,jellyfish,mkzg,3338989,5603,990024,54547936,50586,51450
16,22,jellyfish,dory,4170412,14043,1433190,54547832,86298,90170
16,24,vanilla,mkzg,4702438,5422,979299,54547772,48322,49186
16,24,vanilla,dory,6318442,14629,1457583,54547744,85858,90018
16,24,jellyfish,mkzg,5935414,5715,1145859,54547748,57522,58450
16,24,jellyfish,dory,8148909,15212,1633743,54547836,95762,99922
16,26,vanilla,mkzg,10661659,5780,1131450,54548040,54970,55898
16,26,vanilla,dory,14017395,15711,1654452,54547808,95034,99482
16,26,jellyfish,mkzg,15676473,6250,1312410,54547888,64874,65866
16,26,jellyfish,dory,20809498,16334,1845012,54547820,105642,110090
8,22,vanilla,mkzg,3491567,5272,418994,54547888,42090,42890
8,22,vanilla,dory,4462646,13529,642742,54547808,77098,80970
8,22,jellyfish,mkzg,4087437,5435,493362,54548000,50586,51450
8,22,jellyfish,dory,5296343,14027,721590,54548084,86298,90170
8,24,vanilla,mkzg,6741587,5557,487275,54547908,48322,49186
8,24,vanilla,dory,8705776,14602,731901,54547688,85858,90018
8,24,jellyfish,mkzg,9117168,5760,568363,54547888,57522,58450
8,24,jellyfish,dory,12031302,15155,817469,54547836,95762,99922
8,26,vanilla,mkzg,17936687,5735,560576,54547900,54970,55898
8,26,vanilla,dory,22202391,15895,826080,54547748,95034,99482
8,26,jellyfish,mkzg,27457130,6208,648384,54547876,64874,65866
8,26,jellyfish,dory,34810724,16357,918368,54547888,105642,110090
4,22,vanilla,mkzg,4509302,5243,192855,54547972,42090,42890
4,22,vanilla,dory,5983866,13105,288663,54547772,74506,78090
4,22,jellyfish,mkzg,5720647,5507,226167,54547916,50586,51450
4,22,jellyfish,dory,7738826,13563,323895,54547804,83706,87290
4,24,vanilla,mkzg,10339229,5560,223254,54547832,48322,49186
4,24,vanilla,dory,13501026,13770,328020,54547892,83266,87138
4,24,jellyfish,mkzg,15184099,5872,259446,54547776,57522,58450
4,24,jellyfish,dory,20128161,14335,366132,54547908,93170,97042
4,26,vanilla,mkzg,31788475,5768,255825,54547868,54970,55898
4,26,vanilla,dory,38328416,14913,369549,54547876,92442,96602
4,26,jellyfish,mkzg,51941896,6163,294897,67637964,64874,65866
4,26,jellyfish,dory,64587320,15669,410541,58220272,103050,107210
2,22,vanilla,mkzg,6430596,4968,70197,54547776,42090,42890
2,22,vanilla,dory,8318642,13085,105321,54548084,74506,78090
2,22,jellyfish,mkzg,8876164,5608,81781,54547972,50586,51450
2,22,jellyfish,dory,11545640,13587,117545,54547832,83706,87290
2,24,vanilla,mkzg,17427970,5315,80934,54547896,48322,49186
2,24,vanilla,dory,21512289,13874,119056,54547904,83266,87138
2,24,jellyfish,mkzg,27004805,5708,93478,54547752,57522,58450
2,24,jellyfish,dory,34316801,14443,132240,54547896,93170,97042
2,26,vanilla,mkzg,58740514,5658,92419,74879328,54970,55898
2,26,vanilla,dory,67144375,15057,133539,65438440,92442,96602
2,26,jellyfish,mkzg,100804535,6134,105923,114887796,64874,65866
2,26,jellyfish,dory,115972787,15686,147683,105423668,103050,107210
