parties,nv,gate,prover_time,verifier_time,comm,mem,proof_size_compressed,proof_size_uncompressed
32,22,jellyfish,2180509,3497,126976,1137300,2772,3316
32,24,jellyfish,7253428,3501,126976,4429320,2772,3316
32,26,jellyfish,27947661,3466,126976,17345332,2772,3316
16,22,jellyfish,3811777,3518,61440,2245816,2772,3316
16,24,jellyfish,13756520,3480,61440,8803552,2772,3316
16,26,jellyfish,51749040,3463,61440,34701812,2772,3316
8,22,jellyfish,7151320,3488,28672,4409192,2772,3316
8,24,jellyfish,27696803,3519,28672,17564776,2772,3316
8,26,jellyfish,114809116,3485,28672,70312880,2772,3316
4,22,jellyfish,13726938,3450,12288,8804056,2772,3316
4,24,jellyfish,52299368,3409,12288,34743796,2772,3316
4,26,jellyfish,229442486,3416,12288,143042096,2772,3316
2,22,jellyfish,27655243,3380,4096,17402984,2772,3316
2,24,jellyfish,113900768,3380,4096,70037268,2772,3316
2,26,jellyfish,475159457,3425,4096,245475228,2772,3316
